idRegistro,percentualMemoria,qtdUtilizadaDisco,percentualDisco,percentualCPU,frequenciaCPU,dataHora
1,71.90,244846764032,49.90,5.10,2200.00,"2024-10-07 12:55:48"
2,71.90,244847136768,49.90,5.80,2200.00,"2024-10-07 12:55:54"
3,72.30,244848254976,49.90,4.20,2200.00,"2024-10-07 12:56:00"
4,72.20,244847304704,49.90,6.20,2200.00,"2024-10-07 12:56:06"
5,73.60,244849082368,49.90,2.50,2200.00,"2024-10-07 12:56:12"
6,73.70,244849659904,49.90,7.30,2200.00,"2024-10-07 12:56:18"
7,74.70,244865187840,49.90,1.90,2200.00,"2024-10-07 12:56:24"
8,74.50,244864991232,49.90,3.40,2200.00,"2024-10-07 12:56:30"
9,76.40,244846055424,49.90,10.90,2200.00,"2024-10-07 12:56:36"
10,77.10,244847435776,49.90,2.90,2200.00,"2024-10-07 12:56:42"
11,77.80,244848214016,49.90,4.20,2200.00,"2024-10-07 12:56:48"
12,78.50,244848668672,49.90,4.30,2200.00,"2024-10-07 12:56:54"
13,79.90,244850159616,49.90,7.00,2200.00,"2024-10-07 12:57:00"
14,81.00,244851097600,49.90,7.20,2200.00,"2024-10-07 12:57:06"
15,80.90,244852158464,49.90,2.40,2200.00,"2024-10-07 12:57:12"
16,83.20,244853059584,49.90,20.90,2200.00,"2024-10-07 12:57:18"
17,91.90,246488211456,50.20,8.80,2200.00,"2024-10-07 12:57:24"
18,93.40,247573639168,50.50,7.20,2200.00,"2024-10-07 12:57:30"
19,94.30,247578906624,50.50,18.60,2200.00,"2024-10-07 12:57:36"
20,94.20,247579185152,50.50,5.90,2200.00,"2024-10-07 12:57:42"
21,93.90,247579193344,50.50,15.50,2200.00,"2024-10-07 12:57:48"
22,94.40,247580090368,50.50,17.90,2200.00,"2024-10-07 12:57:54"
23,93.50,247575629824,50.50,16.30,2200.00,"2024-10-07 12:58:00"
24,93.00,247576027136,50.50,4.80,2200.00,"2024-10-07 12:58:06"
25,93.20,247576563712,50.50,10.90,2200.00,"2024-10-07 12:58:12"
26,92.80,247579987968,50.50,4.50,2200.00,"2024-10-07 12:58:18"
27,92.90,247579947008,50.50,5.40,2200.00,"2024-10-07 12:58:24"
28,93.10,247580143616,50.50,11.50,2200.00,"2024-10-07 12:58:30"
29,93.00,247580184576,50.50,5.10,2200.00,"2024-10-07 12:58:36"
30,93.60,247589302272,50.50,4.80,2200.00,"2024-10-07 12:58:42"
31,93.50,247589564416,50.50,4.70,2200.00,"2024-10-07 12:58:48"
32,91.90,247589810176,50.50,5.90,1466.00,"2024-10-07 12:58:54"
33,91.70,247590645760,50.50,7.10,2200.00,"2024-10-07 12:59:00"
34,85.70,247722336256,50.50,96.00,2200.00,"2024-10-07 12:59:34"
35,86.10,247853101056,50.50,6.80,2200.00,"2024-10-07 13:03:49"
36,86.00,247854784512,50.50,5.10,2200.00,"2024-10-07 13:03:55"
37,89.80,247860854784,50.50,27.10,2200.00,"2024-10-07 13:04:01"
38,95.70,248926154752,50.70,54.40,2200.00,"2024-10-07 13:04:07"
39,97.70,250019807232,51.00,53.60,2200.00,"2024-10-07 13:04:13"
40,98.50,251108241408,51.20,53.00,2200.00,"2024-10-07 13:04:19"
41,97.50,251110039552,51.20,45.40,2200.00,"2024-10-07 13:04:25"
42,97.60,251112488960,51.20,38.30,2200.00,"2024-10-07 13:04:31"
43,97.40,251118723072,51.20,10.90,2200.00,"2024-10-07 13:04:37"
44,99.60,251114233856,51.20,30.50,2200.00,"2024-10-07 13:04:43"
45,97.00,252217331712,51.40,18.80,2200.00,"2024-10-07 13:04:49"
46,93.10,252195610624,51.40,10.90,2200.00,"2024-10-07 13:04:55"
47,98.60,252196233216,51.40,34.90,2200.00,"2024-10-07 13:05:01"
48,97.40,252195360768,51.40,61.20,2200.00,"2024-10-07 13:05:07"
49,98.50,253278720000,51.60,41.50,2200.00,"2024-10-07 13:05:13"
50,96.60,253282471936,51.60,53.80,2200.00,"2024-10-07 13:05:19"
51,97.90,253285621760,51.60,54.10,2200.00,"2024-10-07 13:05:25"
52,98.30,254383710208,51.80,54.70,2200.00,"2024-10-07 13:05:31"
53,98.70,254449037312,51.90,53.90,2200.00,"2024-10-07 13:05:37"
54,98.70,254457413632,51.90,53.20,2200.00,"2024-10-07 13:05:43"
55,97.80,254452396032,51.90,35.40,2200.00,"2024-10-07 13:05:49"
56,0.00,254458134528,0.00,0.00,2200.00,"2024-10-07 13:05:56"
57,0.00,254575284224,0.00,0.00,2200.00,"2024-10-07 13:06:03"
58,0.00,254592413696,0.00,0.00,2200.00,"2024-10-07 13:06:09"
59,0.00,254598893568,0.00,0.00,2200.00,"2024-10-07 13:06:15"
60,0.00,254598692864,0.00,0.00,2200.00,"2024-10-07 13:06:21"
61,0.00,254618304512,0.00,0.00,2200.00,"2024-10-07 13:06:27"
