id,name,state,country
3928,Mairiporã,SP,BR  
3553,Vargem,SP,BR   
3178,Cambuí,MG,BR  
8989,São Gonçalo do Sapucaí,MG,BR  
6895,Carmo da Cachoeira,MG,BR  
8966,Santo Antônio do Amparo,MG,BR  
8588,Carmópolis de Minas,MG,BR  
8762,Itatiaiuçu,MG,BR  
6363,Casimiro de Abreu,RJ,BR  
6356,Campos dos Goytacazes,RJ,BR  
5955,Rio Bonito,RJ,BR  
5980,São Gonçalo,RJ,BR  
6551,São José dos Pinhais,PR,BR  
4923,Garuva,SC,BR  
5068,Araquari,SC,BR  
4778,Porto Belo,SC,BR  
4756,Palhoça,SC,BR  
4896,Correia Pinto,SC,BR  
6769,Fazenda Rio Grande,PR,BR
5000,Monte Castelo,SC,BR
6481,Rio Negro,PR,BR
4829,Santa Cecília,SC,BR  
3695,São Lourenço da Serra,SP,BR  
3960,Miracatu,SP,BR  
3880,Juquiá,SP,BR  
4451,Cajati,SP,BR  
4365,Barra do Turvo,SP,BR  
6700,Campina Grande do Sul,PR,BR  
8292,Alexânia,GO,BR  
3156,Perdizes,MG,BR  
7654,Conceição das Alagoas,MG,BR  
3247,Goianápolis,GO,BR  
3181,Piracanjuba,GO,BR  
7537,Itumbiara,GO,BR  
3225,Prata,MG,BR
8699,Fronteira,MG,BR
7657,Florestal,MG,BR
8821,Luz,MG,BR
5678,Campos Altos,MG,BR  
6073,Duque de Caxias,RJ,BR
6286,Areal,RJ,BR
9044,Simão Pereira,MG,BR  
7603,Campo Verde,MT,BR  
7623,Itiquira,MT,BR  
7664,Rondonópolis,MT,BR  
7615,Cuiabá,MT,BR  
7625,Jangada,MT,BR  
7632,Nobres,MT,BR  
7637,Nova Mutum,MT,BR  
7629,Lucas do Rio Verde,MT,BR  
7687,Sorriso,MT,BR  
8539,Araguari,MG,BR
3141,Campo Alegre de Goiás,GO,BR  
8647,Delta,MG,BR  
6862,Ipameri,GO,BR  
6750,Uberaba,MG,BR  
8256,Pedro Canário,ES,BR  
8273,São Mateus,ES,BR  
8196,Aracruz,ES,BR  
8275,Serra,ES,BR  
8218,Guarapari,ES,BR  
8230,Itapemirim,ES,BR  
8246,Mimoso do Sul,ES,BR  
